SNR BLER BER UNCODED_BER ENCODER_MEAN ENCODER_STD ENCODER_MAX DECODER_TIME_MEAN DECODER_TIME_STD DECODER_TIME_MAX DECODER_ITER_MEAN DECODER_ITER_STD DECODER_ITER_MAX
-2.000000 1.000000 0.562500 0.320000 16.558900 -nan 16.558900 98.248806 -nan 98.248806 5.000000 0.000000 5 
-1.900000 1.000000 0.625000 0.280000 5.056975 0.000000 5.056975 31.887740 0.000000 31.887740 5.000000 0.000000 5 
-1.800000 1.000000 0.187500 0.140000 4.418373 -nan 4.418373 29.037403 0.000000 29.037403 5.000000 0.000000 5 
-1.700000 1.000000 0.437500 0.240000 4.722354 0.000000 4.722354 29.116069 -nan 29.116069 5.000000 0.000000 5 
-1.600000 1.000000 0.125000 0.120000 4.569696 0.000000 4.569696 28.901412 0.000000 28.901412 5.000000 0.000000 5 
-1.500000 1.000000 0.500000 0.280000 4.363693 -nan 4.363693 29.902562 -nan 29.902562 5.000000 0.000000 5 
-1.400000 1.000000 0.437500 0.280000 4.397709 -nan 4.397709 29.485381 -nan 29.485381 5.000000 0.000000 5 
-1.300000 1.000000 0.500000 0.280000 4.290382 -nan 4.290382 28.529440 0.000000 28.529440 5.000000 0.000000 5 
-1.200000 1.000000 0.437500 0.340000 3.894409 0.000000 3.894409 28.447450 -nan 28.447450 5.000000 0.000000 5 
-1.100000 1.000000 0.375000 0.200000 4.344376 0.000000 4.344376 28.357438 -nan 28.357438 5.000000 0.000000 5 
-1.000000 1.000000 0.187500 0.220000 3.817747 0.000000 3.817747 33.455113 -nan 33.455113 5.000000 0.000000 5 
-0.900000 1.000000 0.250000 0.280000 4.368376 0.000000 4.368376 28.184126 -nan 28.184126 5.000000 0.000000 5 
-0.800000 1.000000 0.437500 0.160000 4.477704 0.000000 4.477704 28.686771 -nan 28.686771 5.000000 0.000000 5 
-0.700000 1.000000 0.437500 0.300000 4.355712 -nan 4.355712 28.232797 0.000001 28.232797 5.000000 0.000000 5 
